2022-09-16/16:53,57		Error occured while creating Table Good_Raw_Data: Error from server: code=2200 [Invalid query] message="Unknown type training1.integer"
2022-09-16/17:17,06		Table Good_Raw_Data created successfully
2022-09-16/17:22,48		Error occured while creating Table Good_Raw_Data: errors={<Host: efce4195-56d9-45a1-a7b1-74c9bf2830d8-us-east1.db.astra.datastax.com:29042:0970eadb-245c-4b9e-8a93-8f476a0f7d12 us-east1>: ConnectionException('Host has been marked down or removed')}, last_host=efce4195-56d9-45a1-a7b1-74c9bf2830d8-us-east1.db.astra.datastax.com:29042:f9a70c5c-4c7a-4754-947d-f89b848f4e96
2022-09-16/17:26,14		Table Good_Raw_Data created successfully
2022-09-16/17:45,50		Error occured while creating Table Good_Raw_Data: errors={'efce4195-56d9-45a1-a7b1-74c9bf2830d8-us-east1.db.astra.datastax.com:29042:f9a70c5c-4c7a-4754-947d-f89b848f4e96': 'Client request timeout. See Session.execute[_async](timeout)'}, last_host=efce4195-56d9-45a1-a7b1-74c9bf2830d8-us-east1.db.astra.datastax.com:29042:f9a70c5c-4c7a-4754-947d-f89b848f4e96
2022-09-16/17:46,38		Table Good_Raw_Data created successfully
2022-09-16/18:02,46		Error occured while creating Table Good_Raw_Data: errors={'efce4195-56d9-45a1-a7b1-74c9bf2830d8-us-east1.db.astra.datastax.com:29042:11c18e8d-2a57-46be-a667-7f224ca92fbe': 'Client request timeout. See Session.execute[_async](timeout)'}, last_host=efce4195-56d9-45a1-a7b1-74c9bf2830d8-us-east1.db.astra.datastax.com:29042:11c18e8d-2a57-46be-a667-7f224ca92fbe
2022-09-16/18:03,08		Table Good_Raw_Data created successfully
2022-09-16/18:52,20		Error occured while creating Table Good_Raw_Data: errors={'efce4195-56d9-45a1-a7b1-74c9bf2830d8-us-east1.db.astra.datastax.com:29042:f9a70c5c-4c7a-4754-947d-f89b848f4e96': 'Client request timeout. See Session.execute[_async](timeout)'}, last_host=efce4195-56d9-45a1-a7b1-74c9bf2830d8-us-east1.db.astra.datastax.com:29042:f9a70c5c-4c7a-4754-947d-f89b848f4e96
2022-09-16/18:53,57		Table Good_Raw_Data created successfully
2022-09-16/20:32,33		Error occured while creating Table Good_Raw_Data: errors={'efce4195-56d9-45a1-a7b1-74c9bf2830d8-us-east1.db.astra.datastax.com:29042:11c18e8d-2a57-46be-a667-7f224ca92fbe': 'Client request timeout. See Session.execute[_async](timeout)'}, last_host=efce4195-56d9-45a1-a7b1-74c9bf2830d8-us-east1.db.astra.datastax.com:29042:11c18e8d-2a57-46be-a667-7f224ca92fbe
2022-09-16/20:32,53		Table Good_Raw_Data created successfully
2022-09-16/20:40,36		Error occured while creating Table Good_Raw_Data: errors={'efce4195-56d9-45a1-a7b1-74c9bf2830d8-us-east1.db.astra.datastax.com:29042:11c18e8d-2a57-46be-a667-7f224ca92fbe': 'Client request timeout. See Session.execute[_async](timeout)'}, last_host=efce4195-56d9-45a1-a7b1-74c9bf2830d8-us-east1.db.astra.datastax.com:29042:11c18e8d-2a57-46be-a667-7f224ca92fbe
2022-09-16/20:41,59		Table Good_Raw_Data created successfully
2022-09-16/20:50,55		Error occured while creating Table Good_Raw_Data: errors={<Host: efce4195-56d9-45a1-a7b1-74c9bf2830d8-us-east1.db.astra.datastax.com:29042:0970eadb-245c-4b9e-8a93-8f476a0f7d12 us-east1>: ConnectionException('Host has been marked down or removed')}, last_host=efce4195-56d9-45a1-a7b1-74c9bf2830d8-us-east1.db.astra.datastax.com:29042:11c18e8d-2a57-46be-a667-7f224ca92fbe
2022-09-16/20:51,13		Table Good_Raw_Data created successfully
2022-09-16/21:42,16		Error occured while creating Table Good_Raw_Data: errors={'efce4195-56d9-45a1-a7b1-74c9bf2830d8-us-east1.db.astra.datastax.com:29042:11c18e8d-2a57-46be-a667-7f224ca92fbe': 'Client request timeout. See Session.execute[_async](timeout)'}, last_host=efce4195-56d9-45a1-a7b1-74c9bf2830d8-us-east1.db.astra.datastax.com:29042:11c18e8d-2a57-46be-a667-7f224ca92fbe
2022-09-16/21:42,37		Table Good_Raw_Data created successfully
